id,source_type,category,topic,title,year,url,author,note
A045,academic,academic,Chinese lyrics generation / lyrics generation,A Hierarchical Attention Based Seq2Seq Model for Chinese Lyrics Generation,2019,https://doi.org/10.1007/978-3-030-29894-4_23,Haoshen Fan,Query match: Chinese lyrics generation
A046,academic,academic,Chinese lyrics generation,"A Syllable-Structured, Contextually-Based Conditionally Generation of Chinese Lyrics",2019,https://doi.org/10.1007/978-3-030-29894-4_20,Lu Xu,Query match: Chinese lyrics generation
A047,academic,academic,constrained decoding,Constrained Decoding for Neural NLG from Compositional Representations in Task-Oriented Dialogue,2019,https://doi.org/10.18653/v1/p19-1080,Anusha Balakrishnan,Query match: constrained decoding
A048,academic,academic,music generation,Deep Learning Techniques for Music Generation,2019,https://doi.org/10.1007/978-3-319-70163-9,Jean-Pierre Briot,Query match: music generation
A049,academic,academic,constrained decoding,Improved Lexically Constrained Decoding for Translation and Monolingual Rewriting,2019,https://doi.org/10.18653/v1/n19-1090,J. Edward Hu,Query match: constrained decoding
A050,academic,academic,Chinese classical poetry,Jiuge: A Human-Machine Collaborative Chinese Classical Poetry Generation System,2019,https://doi.org/10.18653/v1/p19-3005,Zhipeng Guo,Query match: Chinese classical poetry
A051,academic,academic,melody conditioned lyrics generation,Lyrics-Conditioned Neural Melody Generation,2019,https://doi.org/10.1007/978-3-030-37734-2_58,Yi Yu,Query match: melody conditioned lyrics generation
A052,academic,academic,constrained decoding,Negative Lexically Constrained Decoding for Paraphrase Generation,2019,https://doi.org/10.18653/v1/p19-1607,Tomoyuki Kajiwara,Query match: constrained decoding
A053,academic,academic,controllable poetry generation,Rhetorically Controlled Encoder-Decoder for Modern Chinese Poetry Generation,2019,https://doi.org/10.18653/v1/p19-1192,Zhiqiang Liu,Query match: controllable poetry generation
A054,academic,academic,Chinese poetry generation / controllable poetry generation,Sentiment-Controllable Chinese Poetry Generation,2019,https://doi.org/10.24963/ijcai.2019/684,Huimin Chen,Query match: Chinese poetry generation
A055,academic,academic,melody conditioned lyrics generation,A Melody-Conditioned Lyrics Language Model,2018,https://doi.org/10.18653/v1/n18-1015,Kento Watanabe,Query match: melody conditioned lyrics generation
A056,academic,academic,poetry generation,Automatic Poetry Generation with Mutual Reinforcement Learning,2018,https://doi.org/10.18653/v1/d18-1353,Xiaoyuan Yi,Query match: poetry generation
A057,academic,academic,Chinese poetry memory,Chinese Poetry Generation with a Working Memory Model,2018,https://doi.org/10.24963/ijcai.2018/633,Xiaoyuan Yi,Query match: Chinese poetry memory
A058,academic,academic,Chinese poetry memory,How Images Inspire Poems: Generating Classical Chinese Poetry from Images with Memory Networks,2018,https://doi.org/10.1609/aaai.v32i1.12001,Linli Xu,Query match: Chinese poetry memory
A059,academic,academic,music generation / symbolic music generation,MuseGAN: Multi-track Sequential Generative Adversarial Networks for Symbolic Music Generation and Accompaniment,2018,https://doi.org/10.1609/aaai.v32i1.11312,Hao‐Wen Dong,Query match: music generation
A060,academic,academic,style transfer poetry,Style Transfer in Text: Exploration and Evaluation,2018,https://doi.org/10.1609/aaai.v32i1.11330,Zhenxin Fu,Query match: style transfer poetry
A061,academic,academic,Chinese poetry generation / style transfer poetry / Chinese poetry planning,Stylistic Chinese Poetry Generation via Unsupervised Style Disentanglement,2018,https://doi.org/10.18653/v1/d18-1430,Cheng Yang,Query match: Chinese poetry generation
A062,academic,academic,poetry generation survey,"A Survey on Intelligent Poetry Generation: Languages, Features, Techniques, Reutilisation and Evaluation",2017,https://doi.org/10.18653/v1/w17-3502,Hugo Gonçalo Oliveira,Query match: poetry generation survey
A063,academic,academic,Chinese lyrics generation,Chinese Lyrics Generation Using Long Short-Term Memory Neural Network,2017,https://doi.org/10.1007/978-3-319-60045-1_43,Xing Wu,Query match: Chinese lyrics generation
A064,academic,academic,Chinese poetry generation / songci generation / Chinese poetry planning,Flexible and Creative Chinese Poetry Generation Using Neural Memory,2017,https://doi.org/10.18653/v1/p17-1125,Jiyuan Zhang,Query match: Chinese poetry generation
A065,academic,academic,poetry generation,Hafez: an Interactive Poetry Generation System,2017,https://doi.org/10.18653/v1/p17-4008,Marjan Ghazvininejad,Query match: poetry generation
A066,academic,academic,constrained decoding,Lexically Constrained Decoding for Sequence Generation Using Grid Beam Search,2017,https://doi.org/10.18653/v1/p17-1141,Chris Hokamp,Query match: constrained decoding
A067,academic,academic,music generation,MidiNet: A Convolutional Generative Adversarial Network for Symbolic-domain Music Generation,2017,https://doi.org/10.48550/arxiv.1703.10847,Li-Chia Yang,Query match: music generation
A068,academic,academic,Chinese poetry generation / Chinese poetry planning,Chinese Poetry Generation with Planning based Neural Network,2016,https://doi.org/10.48550/arxiv.1610.09889,Zhe Wang,Query match: Chinese poetry generation
A069,academic,academic,lyrics generation / rap lyrics generation,DopeLearning: A Computational Approach to Rap Lyrics Generation,2015,https://doi.org/10.48550/arxiv.1505.04771,Eric Malmi,Query match: lyrics generation
A070,academic,academic,rap lyrics generation,GhostWriter: Using an LSTM for Automatic Rap Lyric Generation,2015,https://doi.org/10.18653/v1/d15-1221,Peter Potash,Query match: rap lyrics generation
A071,academic,academic,music generation survey,Automated Generation of Music Playlists: Survey and Experiments,2014,https://doi.org/10.1145/2652481,Geoffray Bonnin,Query match: music generation survey
A072,academic,academic,Chinese poetry generation / poetry generation / songci generation,Chinese Poetry Generation with Recurrent Neural Networks,2014,https://doi.org/10.3115/v1/d14-1074,Xingxing Zhang,Query match: Chinese poetry generation
A073,academic,academic,Chinese poetry planning,"i, poet: automatic Chinese poetry composition through a generative summarization framework under constrained optimization",2013,https://www.research.ed.ac.uk/en/publications/2d25a0c7-1b5f-429e-8a14-b5b040754cef,Rui Yan,Query match: Chinese poetry planning
A074,academic,academic,constrained decoding,Constrained decoding for text-level discourse parsing,2012,https://inria.hal.science/hal-00750611,Philippe Müller,Query match: constrained decoding
A075,academic,academic,poetry generation,Full FACE Poetry Generation,2012,http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.298.8987,Simon Colton,Query match: poetry generation
A076,academic,academic,music generation,Modeling Temporal Dependencies in High-Dimensional Sequences: Application to Polyphonic Music Generation and Transcription,2012,https://doi.org/10.48550/arxiv.1206.6392,Nicolas Boulanger-Lewandowski,Query match: music generation
A077,academic,academic,songci generation,Genetic Algorithm and Its Implementation of Automatic Generation of Chinese SONGCI,2010,https://doi.org/10.3724/sp.j.1001.2010.03596,Changle Zhou,Query match: songci generation
A078,academic,academic,music generation,Algorithmic Composition: Paradigms of Automated Music Generation,2008,https://doi.org/10.1007/978-3-211-75540-2,Gerhard Nierhaus,Query match: music generation
A079,academic,academic,poetry generation / poetry generation survey,An evolutionary algorithm approach to poetry generation,2004,http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.9.5371,Hisar Maruli Manurung,Query match: poetry generation
A080,academic,academic,style transfer poetry,Hesiod's Didactic Poetry,1985,https://doi.org/10.1017/s0009838800040155,Malcolm Heath,Query match: style transfer poetry
